Fotograma	Hora-Minuto-Segundo	Tiempo	fps	Exposición	Ganancia	Bitrate	WB
1	13-4-2	20.06275463104248	38.39109581517958	-1.0	-1.0	-1.0	WB
2	13-4-2	20.097666025161743	28.626739559232036	-1.0	-1.0	-1.0	WB
3	13-4-2	20.13181710243225	29.261020922136723	-1.0	-1.0	-1.0	WB
4	13-4-2	20.163768529891968	31.15708151955905	-1.0	-1.0	-1.0	WB
5	13-4-2	20.195873022079468	31.143894560980137	-1.0	-1.0	-1.0	WB
6	13-4-2	20.231609344482422	28.000293734770853	-1.0	-1.0	-1.0	WB
7	13-4-2	20.272468328475952	24.5164804975421	-1.0	-1.0	-1.0	WB
8	13-4-2	20.29694437980652	40.67322200888268	-1.0	-1.0	-1.0	WB
9	13-4-2	20.32955026626587	30.67671108640639	-1.0	-1.0	-1.0	WB
10	13-4-2	20.36048173904419	32.357215043394405	-1.0	-1.0	-1.0	WB
11	13-4-2	20.394968509674072	29.099628128989288	-1.0	-1.0	-1.0	WB
12	13-4-2	20.431008100509644	27.66819048372946	-1.0	-1.0	-1.0	WB
13	13-4-2	20.459343433380127	35.24269821530602	-1.0	-1.0	-1.0	WB
14	13-4-2	20.49578881263733	27.451070736687786	-1.0	-1.0	-1.0	WB
15	13-4-2	20.527807235717773	31.21296055128482	-1.0	-1.0	-1.0	WB
16	13-4-2	20.562146425247192	29.141074542662803	-1.0	-1.0	-1.0	WB
17	13-4-2	20.596107006072998	29.447557799105546	-1.0	-1.0	-1.0	WB
18	13-4-2	20.628132820129395	31.23597313037132	-1.0	-1.0	-1.0	WB
19	13-4-2	20.663371324539185	28.42882802280106	-1.0	-1.0	-1.0	WB
20	13-4-2	20.697937488555908	28.998230088495575	-1.0	-1.0	-1.0	WB
21	13-4-2	20.728081464767456	33.00029111165312	-1.0	-1.0	-1.0	WB
22	13-4-2	20.76355743408203	28.217109335055568	-1.0	-1.0	-1.0	WB
23	13-4-2	20.795382022857666	31.354124928983644	-1.0	-1.0	-1.0	WB
24	13-4-2	20.828126668930054	30.56939200909581	-1.0	-1.0	-1.0	WB
25	13-4-2	20.866079330444336	26.355235791259542	-1.0	-1.0	-1.0	WB
26	13-4-3	20.89437985420227	35.3246193235413	-1.0	-1.0	-1.0	WB
