Fotograma	Hora-Minuto-Segundo	Tiempo	fps	Exposición	Ganancia	Bitrate	WB
1	10-27-29	20.05865168571472	58.57802854668864	-1.0	-1.0	-1.0	WB
2	10-27-29	20.093553066253662	28.486172235805487	-1.0	-1.0	-1.0	WB
3	10-27-29	20.134145498275757	24.83600189483657	-1.0	-1.0	-1.0	WB
4	10-27-29	20.16082501411438	37.06525273948392	-1.0	-1.0	-1.0	WB
5	10-27-29	20.195524215698242	28.77580647374415	-1.0	-1.0	-1.0	WB
6	10-27-29	20.230737686157227	28.47186282362844	-1.0	-1.0	-1.0	WB
7	10-27-29	20.259381771087646	35.361846708989894	-1.0	-1.0	-1.0	WB
8	10-27-29	20.29793906211853	25.630035197497065	-1.0	-1.0	-1.0	WB
9	10-27-29	20.326509952545166	34.977600613773205	-1.0	-1.0	-1.0	WB
10	10-27-29	20.361354112625122	28.731651847488045	-1.0	-1.0	-1.0	WB
11	10-27-29	20.399051666259766	26.693039565712684	-1.0	-1.0	-1.0	WB
12	10-27-29	20.426512241363525	36.10177311069031	-1.0	-1.0	-1.0	WB
13	10-27-29	20.461062908172607	29.01166884549674	-1.0	-1.0	-1.0	WB
14	10-27-29	20.49770188331604	27.195300494718893	-1.0	-1.0	-1.0	WB
15	10-27-29	20.52632999420166	35.34218087750786	-1.0	-1.0	-1.0	WB
16	10-27-29	20.558275938034058	31.03856969481692	-1.0	-1.0	-1.0	WB
17	10-27-29	20.593018293380737	28.785483394985896	-1.0	-1.0	-1.0	WB
18	10-27-30	20.62328314781189	33.03538010774708	-1.0	-1.0	-1.0	WB
19	10-27-30	20.660640478134155	26.77705282243134	-1.0	-1.0	-1.0	WB
20	10-27-30	20.692593574523926	31.710168594541468	-1.0	-1.0	-1.0	WB
21	10-27-30	20.72546100616455	30.09085430596608	-1.0	-1.0	-1.0	WB
22	10-27-30	20.763281106948853	26.429636351033732	-1.0	-1.0	-1.0	WB
23	10-27-30	20.79646873474121	30.139072324219452	-1.0	-1.0	-1.0	WB
24	10-27-30	20.826936960220337	32.765440199984376	-1.0	-1.0	-1.0	WB
25	10-27-30	20.858819484710693	31.349906569997756	-1.0	-1.0	-1.0	WB
26	10-27-30	20.894689798355103	28.099715271497	-1.0	-1.0	-1.0	WB
27	10-27-30	20.924088716506958	33.70109918364723	-1.0	-1.0	-1.0	WB
28	10-27-30	20.966782331466675	23.47159717286804	-1.0	-1.0	-1.0	WB
29	10-27-30	20.99578857421875	34.33929083123879	-1.0	-1.0	-1.0	WB
30	10-27-30	21.02841091156006	30.75431328410849	-1.0	-1.0	-1.0	WB
31	10-27-30	21.061332941055298	30.324069521964198	-1.0	-1.0	-1.0	WB
32	10-27-30	21.09189796447754	32.695966698367656	-1.0	-1.0	-1.0	WB
33	10-27-30	21.12644672393799	28.926433975406727	-1.0	-1.0	-1.0	WB
34	10-27-30	21.1627995967865	27.554224149257653	-1.0	-1.0	-1.0	WB
35	10-27-30	21.1948344707489	31.215515829897445	-1.0	-1.0	-1.0	WB
36	10-27-30	21.230687141418457	27.88636167199665	-1.0	-1.0	-1.0	WB
37	10-27-30	21.26677966117859	27.656879100590157	-1.0	-1.0	-1.0	WB
38	10-27-30	21.29708456993103	33.07236914730883	-1.0	-1.0	-1.0	WB
39	10-27-30	21.3270046710968	33.61844151264007	-1.0	-1.0	-1.0	WB
40	10-27-30	21.35908842086792	30.962727829739485	-1.0	-1.0	-1.0	WB
41	10-27-30	21.39591121673584	27.332112578767994	-1.0	-1.0	-1.0	WB
42	10-27-30	21.425779342651367	33.205114198630405	-1.0	-1.0	-1.0	WB
43	10-27-30	21.463006496429443	26.883979104573278	-1.0	-1.0	-1.0	WB
44	10-27-30	21.495181560516357	31.09517666770458	-1.0	-1.0	-1.0	WB
45	10-27-30	21.527842044830322	30.730878851155804	-1.0	-1.0	-1.0	WB
46	10-27-30	21.560819149017334	30.26433555332674	-1.0	-1.0	-1.0	WB
47	10-27-30	21.60401463508606	23.08380343315043	-1.0	-1.0	-1.0	WB
48	10-27-31	21.632761240005493	34.91034999375754	-1.0	-1.0	-1.0	WB
49	10-27-31	21.659488201141357	37.311888410489985	-1.0	-1.0	-1.0	WB
